text,sentiment,cleaned_text
I love the new features of this product! So amazing! #happy,1,i love the new features of this product so amazing happy
This service is absolutely terrible. I want a refund.,0,this service is absolutely terrible i want a refund
Great experience today at the store. Staff was very helpful.,1,great experience today at the store staff was very helpful
I'm so frustrated with the constant crashes. Worst app ever.,0,im so frustrated with the constant crashes worst app ever
"Neutral feeling about the update. Some good, some bad.",0,neutral feeling about the update some good some bad
Just had the best coffee of my life! @CoffeeShop #blessed,1,just had the best coffee of my life  blessed
The delivery was late and the box was damaged. Not happy.,0,the delivery was late and the box was damaged not happy
Really impressed with the customer support team. Fixed my issue in minutes!,1,really impressed with the customer support team fixed my issue in minutes
I don't understand the hype. It's just okay.,0,i dont understand the hype its just okay
Absolutely stunning visuals in the new movie. Highly recommend!,1,absolutely stunning visuals in the new movie highly recommend
